,0,1,accuracy,macro avg,weighted avg
precision,0.8050541516245487,0.8789237668161435,0.838,0.8419889592203461,0.841988959220346
recall,0.892,0.784,0.838,0.8380000000000001,0.838
f1-score,0.8462998102466793,0.828752642706131,0.838,0.8375262264764052,0.8375262264764052
support,250.0,250.0,0.838,500.0,500.0
