,0,1,accuracy,macro avg,weighted avg
precision,0.8181818181818182,0.8259109311740891,0.822,0.8220463746779536,0.8220463746779537
recall,0.828,0.816,0.822,0.822,0.822
f1-score,0.8230616302186878,0.8209255533199195,0.822,0.8219935917693036,0.8219935917693036
support,250.0,250.0,0.822,500.0,500.0
