,0,1,accuracy,macro avg,weighted avg
precision,0.7827586206896552,0.8904761904761904,0.828,0.8366174055829227,0.8366174055829229
recall,0.908,0.748,0.828,0.8280000000000001,0.828
f1-score,0.8407407407407408,0.8130434782608696,0.828,0.8268921095008053,0.8268921095008052
support,250.0,250.0,0.828,500.0,500.0
